"GenusSpp"
"Asterionella formosa"
"Aulacoseira sp #1"
"Cyclotella sp"
"Coelastrum sp"
"Cosmarium sp"
"Crucigenia tetrapedia"
"Crucigeniella crucifera"
"Desmodesmus communis"
"Elakatothrix genevensis"
"Golenkinia radiata "
"Oocystis pusilla "
"Oocystis solitaria"
"Pediastrum biradiatum"
"Pediastrum boryanum"
"Pediastrum duplex"
"Pediastrum tetras"
"Quadrigula closterioides"
"Scenedesmus ellipticus"
"Selenastrum capricornutum "
"Sphaerocystis schroeteri "
"Tetraedron caudata"
"Tetraëdron minimum"
"Tetraëdron trigonum"
"Cryptomonas erosa"
"Chroococcus minutus"
"Dolichosprmum sp"
"Microcystis aeruginosa"
"Ceratium sp"
"Euglena sp"
"Trachelomonas sp"
"Navicula"
"Chlamydomonas"
"Monoraphidium komarkovae"
"Kephyrion sp"
"Cryptomonas curvata"
"Cryptomonas marssonii"
"Cryptomonas ovata  "
"Plagioselmis nannoplanctica"
"Pseudanabaena"
"Glenodinium"
"Euglena"
"Phacus"
"Nitzschia"
"Schroederia setigera "
"Peridinium sp"
"Amphora sp"
"Navicula sp"
"Nitzschia sp"
"Gomphonema sp"
"Acutodesmus obliquus"
"Cryptomonas sp"
"Aulacoseira sp"
"Cocconeis sp"
"Fragilaria sp"
"Navicula sp"
"Pennate diatoms(unid)"
"Synedra sp"
"Planktolyngbya limnetica"
"Glenodinium sp"
"Gymnodinium sp"
"Lepocinclis sp"
"Monomorphina sp"
"Phacus smulkowskianus"
"Phacus sp"
"Cymbella sp"
"Meridion sp"
"Nitzschia sp"
"Tabellaria sp"
"Tetrastrum glastrum"
"Synura sp"
"Cryptomonas reflexa"
"Kateblepharis ovalis"
"Chlamydomonas sp"
"Chromulina sp"
"Kephyrion sp"
"Mallomonas sp"
"Asterionella sp"
"Aulacoseira sp 1"
"Aulacoseira sp 2"
"Sellaphora sp"
"Acutodesmus dimorphus"
"Desmodesmus abundans"
"Desmodesmus armatus"
"Dictyospaerium pulchellum"
"Kirchneriella obesa"
"Monoraphidium arcuatum"
"Tetraedron caudatum"
"Cryptomonas parapyrenoidifera"
"Aphanothece sp"
"Chroococcus sp"
"Sphaerocystis schroeteri"
"Chroomonas nordstedtii"
"Cryptomonas brevis"
"Aphanizomenon flosaquae"
"Cuspdothrix issatschenkoi"
"Dolichosprmum crassum"
"Dolichosprmum flosaquae"
"Dolichosprmum mendotae"
"Stephanodiscus sp"
"Dichotomococcus curvatus"
